Serial Number,Date Created,TestingSoftwareVersion,Test Result,status_CL_2,status_CL_25,status_CL_8,status_OL,P_CL_2,P_Avg_CL_25,P_Avg_CL_8,P_Avg_OL,P_StdDev_CL_2,P_StdDev_CL_25,P_StdDev_CL_8,P_StdDev_OL,F_Avg_CL_2,F_Avg_CL_25,F_Avg_CL_8,F_Avg_OL,F_StdDev_CL_2,F_StdDev_CL_25,F_StdDev_CL_8,F_StdDev_OL,D_Avg_CL_2,D_Avg_CL_25,D_Avg_CL_8,D_Avg_OL,D_StdDev_CL_2,D_StdDev_CL_25,D_StdDev_CL_8,D_StdDev_OL
4A001H,1/23/2018 10:49,3.2,Pass,Pass,Pass,Pass,Pass,"29,335.58","29,491.29","29,487.35","30,636.46",51.72289,15.1222,16.64824,10.07408,801.6,"9,995.21",3199.23,"4,974.38",75.15285,53.40797,57.42083,45.50565,368.1233,"4,182.69",1350.583,2383.093,19.25788,17.21346,15.86988,11.74825
4A001H,1/23/2018 10:49,3.2,Fail,Pass,Fail,Pass,Pass,"29,283.49","29,633.68","29,435.39","30,649.91",53.98689,455.6218,18.2168,9.425009,795.46,"10,605.13",3195.743,"5,032.52",81.41136,1603.696,61.96784,44.54431,372.3033,"4,497.02",1339.677,2396.403,16.08281,985.3104,16.53243,11.21949
4A001P,1/23/2018 10:15,3.2,Pass,Pass,Pass,Pass,Pass,"29,305.18","29,363.80","29,422.82","30,657.12",47.22588,25.5761,15.67816,9.628438,796.76,"9,940.33",3199.74,"5,270.78",94.00262,62.44886,60.35593,47.61033,412.07,3849.643,1316.22,2402.773,18.30341,16.72933,14.27912,11.3195
4A001M,1/23/2018 10:02,3.2,Pass,Pass,Pass,Pass,Pass,"29,281.21","29,302.74","29,369.96","30,657.24",52.4406,65.52695,36.09586,9.654488,800.79,"9,987.09",3197.603,"6,406.96",81.97117,118.4241,52.70877,52.20287,319.48,3205.407,1072.523,2387.513,15.9234,30.93753,13.091,12.09733
4A001K,1/23/2018 9:47,3.2,Pass,Pass,Pass,Pass,Pass,"29,390.77","29,342.95","29,432.76","30,658.52",35.93544,51.93684,36.79905,8.851385,802.3233,"9,987.58",3196.66,"5,825.86",58.82971,83.41288,60.10137,41.39107,348.8233,3549.727,1196.373,2405.407,12.25349,18.39503,13.93871,10.74339
4A001N,1/23/2018 9:33,3.2,Pass,Pass,Pass,Pass,Pass,"29,326.04","29,453.89","29,424.82","30,654.82",48.68138,17.00098,16.88743,8.994534,800.86,"9,997.96",3198.683,"6,115.50",83.24189,68.45874,65.84446,45.82495,328.9067,3402.697,1118.52,2402.76,15.83025,18.15115,13.40168,13.2175
4A001G,1/23/2018 9:19,3.2,Pass,Pass,Pass,Pass,Pass,"29,419.09","29,454.27","29,445.96","30,656.87",35.50473,16.13042,18.06701,8.948974,797,"10,004.07",3193.677,"5,746.08",60.32778,58.56977,58.3805,56.96377,297.67,3593.877,1151.14,2399.63,14.23166,14.50937,17.32564,9.546372
4A001Q,1/23/2018 9:06,3.2,Pass,Pass,Pass,Pass,Pass,"29,247.52","29,423.54","29,401.11","30,649.66",75.71019,10.71658,19.37256,9.773626,800.4167,"9,817.70",3199.093,"5,402.28",73.01062,75.99011,72.19933,45.82131,352.5133,3774.113,1249.013,2423.253,15.26163,19.45048,15.37869,10.84577
4A001F,1/23/2018 8:53,3.2,Fail,Fail,Fail,Fail,Fail,"29,284.06","28,545.27","29,210.95","29,575.63",33.16656,33.87931,9.994746,3.20626,779.3333,"7,551.12",2733.193,264.2933,63.95226,281.7266,67.44555,16.72337,3414.8,"5,527.36","4,183.55",3453.927,39.24395,65.73727,14.15736,7.249314
4A0011,1/22/2018 14:12,3.2,Pass,Pass,Pass,Pass,Pass,"29,300.44","29,443.55","29,437.86","30,644.33",37.07829,9.349839,15.83127,10.47655,797.14,"9,996.49",3199.723,"5,654.85",61.38964,67.26582,52.69426,43.7924,326.2967,3733.003,1206.78,2433.21,14.32994,18.45261,16.17358,10.86367
4A000M,1/19/2018 9:50,3.2,Pass,Pass,Pass,Pass,Pass,"29,350.15","29,481.47","29,439.20","30,657.48",42.49573,16.97123,16.46226,8.891052,804.46,"9,999.05",3200.257,"4,853.01",70.58173,63.08651,57.55014,40.54556,422.2967,"4,314.57",1419.71,2424.69,15.0806,14.66622,12.93313,10.15682
4A001J,1/19/2018 9:28,3.2,Pass,Pass,Pass,Pass,Pass,"29,333.23","29,452.17","29,386.98","30,650.30",49.92022,19.18485,29.08225,9.758564,799.3133,"9,993.88",3196.873,"5,856.03",66.55469,62.92564,64.34677,51.10462,363.9167,3510.587,1157.617,2387.17,15.32851,16.48337,13.39574,11.20206
4A000M,1/19/2018 9:15,3.2,Fail,Pass,Fail,Pass,Pass,"29,359.35","29,429.36","29,484.68","30,661.64",51.77594,271.1259,17.97811,10.14381,797.8933,"10,008.00",3198.077,"4,846.96",85.36961,920.2092,46.52791,43.45485,410.76,"4,260.24",1411.333,2407.42,16.92958,557.3214,13.81436,11.35793
4A0013,1/19/2018 8:58,3.2,Pass,Pass,Pass,Pass,Pass,"29,262.94","29,285.12","29,389.93","30,658.76",57.29802,61.45798,46.28748,9.866238,807.57,"9,987.32",3195.593,"5,553.15",94.16968,78.51,52.19068,50.53471,348.9667,3641.447,1223.97,2398.387,17.8749,25.81684,14.46039,11.54591
4A0032,1/19/2018 8:45,3.2,Pass,Pass,Pass,Pass,Pass,"29,257.68","29,210.31","29,365.35","30,641.72",59.96945,77.94481,35.64636,10.53214,797.2,"9,980.43",3201.65,"5,957.62",62.73005,82.10848,68.86381,41.32826,305.5567,3400.29,1130.533,2415.657,15.22058,30.77701,17.00091,10.35053
4A000N,1/18/2018 16:18,3.2,Pass,Pass,Pass,Pass,Pass,"29,346.96","29,496.70","29,413.88","30,633.36",52.85857,13.14092,33.82698,10.78271,797.19,"9,993.42",3197.807,"5,823.72",64.32281,48.42495,68.3189,41.4259,374.1567,3476.413,1176.293,2385.133,16.13825,13.16057,15.55107,12.48427
